sourcedId,status,dateLastModified,schoolYearSourcedId,title,courseCode,grades,orgSourcedId,subjects,subjectCodes
0015907,,,,MTH MOD APP,0015907,,024901001,,
0015908,,,,BIOLOGY  1,0015908,,024901001,,
0015909,,,,INT PHY&CHEM,0015909,,024901001,,
0015910,,,,CHEMISTRY,0015910,,024901001,,
0015911,,,,WLD GEOGRAPHY,0015911,,024901001,,
0015912,,,,US HISTORY,0015912,,024901001,,
0015913,,,,WLD HISTORY,0015913,,024901001,,
0015914,,,,GOVERNMENT,0015914,,024901001,,
0015915,,,,ECONOMICS,0015915,,024901001,,
0015916,,,,CAREER L SK 1,0015916,,024901001,,
0015917,,,,CAREER L SK 2,0015917,,024901001,,
0015918,,,,CAREER L SK 3,0015918,,024901001,,
0015919,,,,CAREER L SK 4,0015919,,024901001,,
0015920,,,,FUND OF MATH,0015920,,024901001,,
0015921,,,,VOCATIONAL SK,0015921,,024901001,,
0015922,,,,FUNCTIONAL MTH,0015922,,024901001,,
0015923,,,,FUNCTIONAL RDG,0015923,,024901001,,
0015924,,,,STUDY HALL,0015924,,024901001,,
0015934,,,,ALGEBRA 2,0015934,,024901001,,
0015935,,,,ASSIS TECHNOOGY,0015935,,024901001,,
0015936,,,,BRAILLE PRODENG,0015936,,024901001,,
0015937,,,,BRAILLE PRODSCI,0015937,,024901001,,
0015938,,,,JOURNALISM,0015938,,024901001,,
0019001,,,,ENGLISH 1 A,0019001,,024901001,,
0019002,,,,ENGLISH 2 A,0019002,,024901001,,
0019003,,,,ENGLISH 3 A,0019003,,024901001,,
0019004,,,,ENGLISH 4 A,0019004,,024901001,,
0019005,,,,ALGEBRA 1 A,0019005,,024901001,,
0019006,,,,GEOMETRY A,0019006,,024901001,,
0019007,,,,ALGEBRA 2 A,0019007,,024901001,,
0019008,,,,MMA A,0019008,,024901001,,
0019009,,,,IPC A,0019009,,024901001,,
0019010,,,,BIOLOGY A,0019010,,024901001,,
0019011,,,,WORLD GEO A,0019011,,024901001,,
0019012,,,,WORLD HISTORY A,0019012,,024901001,,
0019013,,,,US HISTORY A,0019013,,024901001,,
0019014,,,,GOVERNMENT A,0019014,,024901001,,
0019015,,,,ECONOMICS A,0019015,,024901001,,
0019016,,,,HEALTH A,0019016,,024901001,,
0019017,,,,CHEMISTRY A,0019017,,024901001,,
0019018,,,,EARTH SCIENCE A,0019018,,024901001,,
0019019,,,,ART 1 A,0019019,,024901001,,
0019020,,,,BUS INF MGT 1,0019020,,024901001,,
0019021,,,,PHYSICS A,0019021,,024901001,,
0019022,,,,SOCIOLOGY A,0019022,,024901001,,
0019023,,,,SPEECH COMUNICA,0019023,,024901001,,
0019024,,,,SPANISH 1 A,0019024,,024901001,,
0019114,,,,PHYSICS B,0019114,,024901001,,
0019117,,,,CHEMISTY B,0019117,,024901001,,
0019118,,,,EARTH SCIENCE B,0019118,,024901001,,
0414610,,,,ELA/RDG 6,0414610,,024901041,,
0414621,,,,MATH B-6,0414621,,024901041,,
0414660,,,,ART I MS,0414660,,024901041,,
0414691,,,,TECH APPL,0414691,,024901041,,
0414710,,,,ELA/RDG 7,0414710,,024901041,,
0414711,,,,ELA/RDG B-7,0414711,,024901041,,
0414754,,,,BAND - 7,0414754,,024901041,,
0414810,,,,ELA/RDG 8,0414810,,024901041,,
0414849,,,,P. E .8,0414849,,024901041,,
0414871,,,,PRIN OF AFNR,0414871,,024901041,,
0414918,,,,READING,0414918,,024901041,,
1011216,,,,MATH ENR - 2,1011216,,024901101,,
1011308,,,,JAB-3,1011308,,024901101,,
1011309,,,,STAAR Enr 3,1011309,,024901101,,
1011310,,,,ELA 3,1011310,,024901101,,
1011402,,,,MATHEMATICS - 4,1011402,,024901101,,
1011408,,,,JAB-4,1011408,,024901101,,
1011410,,,,ELA 4,1011410,,024901101,,
1011503,,,,SCIENCE - 5,1011503,,024901101,,
1011508,,,,JAB-5,1011508,,024901101,,
1011510,,,,ELA 5,1011510,,024901101,,
1011515,,,,LIFE SKILLS,1011515,,024901101,,
1013300,,,,READING ELEC 3,1013300,,024901101,,
1030014,,,,SOC STUDIES-KG,1030014,,024901103,,
1050012,,,,MATH-KG,1050012,,024901105,,
1050140,,,,SOC STUDIES-1,1050140,,024901105,,
1050500,,,,P E - 1,1050500,,024901105,,
1051100,,,,LANG ARTS-PK,1051100,,024901105,,
1051202,,,,MATHEMATICS - 2,1051202,,024901105,,
1051216,,,,MATH ENR - 2,1051216,,024901105,,
1051217,,,,READING 2,1051217,,024901105,,
1051303,,,,SCIENCE - 3,1051303,,024901105,,
1051503,,,,SCIENCE - 5,1051503,,024901105,,
1051508,,,,JAB-5,1051508,,024901105,,
1051515,,,,LIFE SKILLS,1051515,,024901105,,
1051518,,,,ENRICHMENT 5,1051518,,024901105,,
0019150,,,,SWIS,0019150,,024901001,,
0414732,,,,SCI HONORS 7,0414732,,024901041,,
0414740,,,,TEXAS HISTORY 7,0414740,,024901041,,
0414749,,,,P. E. 7,0414749,,024901041,,
0414752,,,,ATH-GIRLS-7,0414752,,024901041,,
0414770,,,,COLLEGE & CR -7,0414770,,024901041,,
0414809,,,,INTERV/ENRICH 8,0414809,,024901041,,
0414840,,,,AMERICAN HIST 8,0414840,,024901041,,
0414860,,,,ART I MS,0414860,,024901041,,
0414894,,,,SCI INTERVNT 6,0414894,,024901041,,
0414911,,,,LIFE SKILLS,0414911,,024901041,,
0414916,,,,VOCSKILLS,0414916,,024901041,,
0414925,,,,MATHEMATICS,0414925,,024901041,,
0414946,,,,SOCIAL STUDIES,0414946,,024901041,,
1011203,,,,SCIENCE - 2,1011203,,024901101,,
1011218,,,,MATH 2,1011218,,024901101,,
1011605,,,,PE,1011605,,024901101,,
1030013,,,,SCIENCE-KG,1030013,,024901103,,
1050004,,,,SOC STUDIES-PK,1050004,,024901105,,
1050160,,,,CITIZENSHIP-1,1050160,,024901105,,
1050700,,,,ENRICHMENT -1,1050700,,024901105,,
1051106,,,,CITIZENSHIP-PK,1051106,,024901105,,
1051200,,,,WRITING - 2,1051200,,024901105,,
1051307,,,,CITIZENSHIP - 3,1051307,,024901105,,
1051311,,,,Math,1051311,,024901105,,
1051400,,,,WRITING - 4,1051400,,024901105,,
1051412,,,,Math 4,1051412,,024901105,,
0019103,,,,ENGLISH 3 B,0019103,,024901001,,
0019112,,,,WORLD HIST B,0019112,,024901001,,
0019125,,,,SPANISH 2 B,0019125,,024901001,,
0414619,,,,RDG INV-6,0414619,,024901041,,
0414654,,,,BEG LOW BRASS,0414654,,024901041,,
0414656,,,,BEG SAX/TRUMP,0414656,,024901041,,
0414665,,,,CAREER EXPLORAT,0414665,,024901041,,
0414719,,,,RDG INV-7,0414719,,024901041,,
0414790,,,,COLL PREP MATH,0414790,,024901041,,
0414854,,,,BAND - 8,0414854,,024901041,,
0414907,,,,Math - 6TH,0414907,,024901041,,
0414910,,,,READING,0414910,,024901041,,
0414940,,,,SOCIAL STUDIES,0414940,,024901041,,
0414950,,,,LIFE SKILLS,0414950,,024901041,,
0415826,,,,CAREER PREP 1,0415826,,024901041,,
1011316,,,,MATH ENR - 3,1011316,,024901101,,
1011504,,,,SOC STUDIES - 5,1011504,,024901101,,
1011509,,,,Music-5,1011509,,024901101,,
1030002,,,,MATH - PK,1030002,,024901103,,
1050011,,,,LANG ARTS-KG,1050011,,024901105,,
1050060,,,,CITIZENSHIP - K,1050060,,024901105,,
1051304,,,,SOC STUDIES - 3,1051304,,024901105,,
1051316,,,,MATH ENR - 3,1051316,,024901105,,
1051413,,,,Science 4,1051413,,024901105,,
1051499,,,,HOMEBOUND,1051499,,024901105,,
1051505,,,,P E - 5,1051505,,024901105,,
1054400,,,,READING ELEC 4,1054400,,024901105,,
0019111,,,,WORLD GEO B,0019111,,024901001,,
0414613,,,,READING DYS 6,0414613,,024901041,,
0414640,,,,WORLD HISTORY 6,0414640,,024901041,,
0414657,,,,Band-6,0414657,,024901041,,
0414712,,,,ELA/RDG HONOR 7,0414712,,024901041,,
0414713,,,,READING DYS 7,0414713,,024901041,,
0414813,,,,READING DYS 8,0414813,,024901041,,
0414858,,,,THTR ARTS MS1,0414858,,024901041,,
0414865,,,,CAREER EXPLORAT,0414865,,024901041,,
0414880,,,,BUS INFORM MGMT,0414880,,024901041,,
0414890,,,,Gear-Up Adv.,0414890,,024901041,,
0414935,,,,SCIENCE,0414935,,024901041,,
0414948,,,,SOCIAL STUDIES,0414948,,024901041,,
0414958,,,,LIFE SKILLS,0414958,,024901041,,
1011201,,,,READING -2,1011201,,024901101,,
1011204,,,,SOC STUDIES - 2,1011204,,024901101,,
1011205,,,,P E - 2,1011205,,024901101,,
1011210,,,,ELA 2,1011210,,024901101,,
1011301,,,,READING -3,1011301,,024901101,,
1011401,,,,READING -4,1011401,,024901101,,
1011405,,,,P E - 4,1011405,,024901101,,
1011416,,,,READING 4,1011416,,024901101,,
1011501,,,,READING -5,1011501,,024901101,,
1012000,,,,ACC INSTRUCTION,1012000,,024901101,,
1030050,,,,P E - KG,1030050,,024901103,,
1050009,,,,HEADSTART,1050009,,024901105,,
1050110,,,,LANG ARTS-1,1050110,,024901105,,
1050120,,,,MATH-1,1050120,,024901105,,
1051205,,,,P E - 2,1051205,,024901105,,
1051206,,,,HEALTH - 2,1051206,,024901105,,
1051208,,,,JAB-2,1051208,,024901105,,
1051209,,,,STAAR Enr. 2,1051209,,024901105,,
1051210,,,,ELA 2,1051210,,024901105,,
1051306,,,,HEALTH - 3,1051306,,024901105,,
1051308,,,,JAB-3,1051308,,024901105,,
1051309,,,,STAAR Enr 3,1051309,,024901105,,
1051310,,,,ELA 3,1051310,,024901105,,
1051402,,,,MATHEMATICS - 4,1051402,,024901105,,
1051406,,,,HEALTH - 4,1051406,,024901105,,
1051408,,,,JAB-4,1051408,,024901105,,
1051410,,,,ELA 4,1051410,,024901105,,
1051416,,,,READING 4,1051416,,024901105,,
1051506,,,,HEALTH - 5,1051506,,024901105,,
1051510,,,,ELA 5,1051510,,024901105,,
1053300,,,,READING ELEC 3,1053300,,024901105,,
0019102,,,,ENGLISH 2 B,0019102,,024901001,,
0019106,,,,GEOMETRY B,0019106,,024901001,,
0019116,,,,HEALTH B,0019116,,024901001,,
0414611,,,,ELA/RDG B-6,0414611,,024901041,,
0414631,,,,SCI LAB 6,0414631,,024901041,,
0414642,,,,WH HONORS-6,0414642,,024901041,,
0414730,,,,SCIENCE 7,0414730,,024901041,,
0414731,,,,SCI LAB 7,0414731,,024901041,,
0414757,,,,MARIACHI 7,0414757,,024901041,,
0414794,,,,Interv-MathOn7,0414794,,024901041,,
0414830,,,,SCIENCE 8,0414830,,024901041,,
0414831,,,,SCI LAB 8,0414831,,024901041,,
0414856,,,,SYMPHONIC BAND,0414856,,024901041,,
0414857,,,,MARIACHI 8,0414857,,024901041,,
0414904,,,,READING - 6TH,0414904,,024901041,,
0414960,,,,VOC SKILLS,0414960,,024901041,,
1011211,,,,Math 2,1011211,,024901101,,
1011302,,,,MATHEMATICS - 3,1011302,,024901101,,
1011312,,,,Science,1011312,,024901101,,
1011313,,,,Soc Studies,1011313,,024901101,,
1011403,,,,SCIENCE - 4,1011403,,024901101,,
1011409,,,,STAAR Enr. 4,1011409,,024901101,,
1011417,,,,MATH 4,1011417,,024901101,,
1011517,,,,MATH 5,1011517,,024901101,,
1030012,,,,MATH-KG,1030012,,024901103,,
1031001,,,,ACC INSTRUCTION,1031001,,024901103,,
1031100,,,,LANG ARTS-PK,1031100,,024901103,,
1050001,,,,LANG ARTS - PK,1050001,,024901105,,
1050003,,,,SCIENCE - PK,1050003,,024901105,,
1050014,,,,SOC STUDIES-KG,1050014,,024901105,,
1050016,,,,CITIZENSHIP-K,1050016,,024901105,,
1050100,,,,LANG ARTS - 1,1050100,,024901105,,
1051203,,,,SCIENCE - 2,1051203,,024901105,,
1051218,,,,MATH 2,1051218,,024901105,,
1051507,,,,CITIZENSHIP - 5,1051507,,024901105,,
1051605,,,,PE,1051605,,024901105,,
1052200,,,,READING ELEC 2,1052200,,024901105,,
0019028,,,,CAREER PREP A,0019028,,024901001,,
0019105,,,,ALGEBRA 1 B,0019105,,024901001,,
0414658,,,,THTR ARTS MS1 6,0414658,,024901041,,
0414709,,,,INTERV/ENRICH 7,0414709,,024901041,,
0414791,,,,PRIN OF BMF,0414791,,024901041,,
0414906,,,,READING - 8TH,0414906,,024901041,,
0414928,,,,MATHEMATICS,0414928,,024901041,,
