sourcedId,status,dateLastModified,title,grades,courseSourcedId,classCode,classType,location,schoolSourcedId,termSourcedIds,subjects,subjectCodes,periods
001543612,,,COMS 1311,,0015436,,scheduled,2216,024901001,024901-2,,,02
001543613,,,COMS 1311,,0015436,,scheduled,2216,024901001,024901-2,,,03
001543614,,,COMS 1311,,0015436,,scheduled,2216,024901001,024901-2,,,04
001543615,,,COMS 1311,,0015436,,scheduled,2216,024901001,024901-2,,,05
001543616,,,COMS 1311,,0015436,,scheduled,2216,024901001,024901-2,,,06
001543617,,,COMS 1311,,0015436,,scheduled,2216,024901001,024901-2,,,07
001543618,,,COMS 1311,,0015436,,scheduled,2216,024901001,024901-2,,,08
001543805,,,GOVT 2305,,0015438,,scheduled,LIBR,024901001,024901-2,,,05
001543809,,,GOVT 2305,,0015438,,scheduled,summ,024901001,024901-1,,,09
001550104,,,ART 1,,0015501,,homeroom,1204,024901001,024901-3,,,04
001550106,,,ART 1,,0015501,,homeroom,1204,024901001,024901-3,,,06
001550108,,,ART 1,,0015501,,homeroom,1204,024901001,024901-3,,,08
001550507,,,THEATRE ART 1,,0015505,,homeroom,1204,024901001,024901-3,,,07
001550605,,,THEATRE ART 2,,0015506,,scheduled,1204,024901001,024901-3,,,05
001550705,,,THEATRE ART 3,,0015507,,scheduled,1204,024901001,024901-3,,,05
001550902,,,BAND 1,,0015509,,scheduled,BH,024901001,024901-3,,,02
001551002,,,BAND 2,,0015510,,scheduled,BH,024901001,024901-3,,,02
001551102,,,BAND 3,,0015511,,scheduled,BH,024901001,024901-3,,,02
001551202,,,BAND 4,,0015512,,scheduled,BH,024901001,024901-3,,,02
001551301,,,MUS MARIACHI 1,,0015513,,scheduled,BH,024901001,024901-3,,,01
001551401,,,MUS MARIACHI 2,,0015514,,scheduled,BH,024901001,024901-3,,,01
001551501,,,MUS MARIACHI 3,,0015515,,scheduled,BH,024901001,024901-3,,,01
001551601,,,MUS MARIACHI 4,,0015516,,scheduled,BH,024901001,024901-3,,,01
001552001,,,ART 1301,,0015520,,scheduled,LIBR,024901001,024901-1,,,01
001552002,,,ART 1301,,0015520,,homeroom,LIBR,024901001,024901-1,,,02
001552003,,,ART 1301,,0015520,,homeroom,LIBR,024901001,024901-1,,,03
001552004,,,ART 1301,,0015520,,scheduled,LIBR,024901001,024901-1,,,04
001552005,,,ART 1301,,0015520,,scheduled,LIBR,024901001,024901-1,,,05
001552006,,,ART 1301,,0015520,,scheduled,LIBR,024901001,024901-1,,,06
001552007,,,ART 1301,,0015520,,homeroom,LIBR,024901001,024901-1,,,07
001552008,,,ART 1301,,0015520,,scheduled,LIBR,024901001,024901-1,,,08
001552011,,,ART 1301,,0015520,,scheduled,LIBR,024901001,024901-2,,,01
001552012,,,ART 1301,,0015520,,scheduled,LIBR,024901001,024901-2,,,02
001552013,,,ART 1301,,0015520,,scheduled,LIBR,024901001,024901-2,,,03
001552014,,,ART 1301,,0015520,,scheduled,LIBR,024901001,024901-2,,,04
001552015,,,ART 1301,,0015520,,scheduled,LIBR,024901001,024901-2,,,05
001552016,,,ART 1301,,0015520,,scheduled,LIBR,024901001,024901-2,,,06
001552017,,,ART 1301,,0015520,,homeroom,LIBR,024901001,024901-2,,,07
001552018,,,ART 1301,,0015520,,scheduled,LIBR,024901001,024901-2,,,08
001552101,,,ARTS 1303,,0015521,,scheduled,LIBR,024901001,024901-1,,,01
001552102,,,ARTS 1303,,0015521,,scheduled,LIBR,024901001,024901-1,,,02
001552103,,,ARTS 1303,,0015521,,scheduled,LIBR,024901001,024901-1,,,03
001552104,,,ARTS 1303,,0015521,,scheduled,LIBR,024901001,024901-1,,,04
001552105,,,ARTS 1303,,0015521,,scheduled,LIBR,024901001,024901-1,,,05
001552106,,,ARTS 1303,,0015521,,scheduled,LIBR,024901001,024901-1,,,06
001552107,,,ARTS 1303,,0015521,,homeroom,LIBR,024901001,024901-1,,,07
001552108,,,ARTS 1303,,0015521,,scheduled,LIBR,024901001,024901-1,,,08
001552111,,,ARTS 1303,,0015521,,scheduled,2216,024901001,024901-2,,,01
001552112,,,ARTS 1303,,0015521,,scheduled,2216,024901001,024901-2,,,02
001552113,,,ARTS 1303,,0015521,,scheduled,2216,024901001,024901-2,,,03
001552114,,,ARTS 1303,,0015521,,scheduled,2216,024901001,024901-2,,,04
